,Cities,Max Temp,Lat,Lng,Humidity,Wind Speed,Cloudiness,Country
0,iqaluit,35.6,63.75,-68.51,74,18.34,75,CA
1,vostok,45.34,46.49,135.88,78,1.72,99,RU
2,barra bonita,75.2,-22.49,-48.56,41,3.36,0,BR
3,hermanus,52.0,-34.42,19.23,97,5.17,100,ZA
4,isangel,75.2,-19.55,169.27,83,5.82,75,VU
5,flin flon,73.4,54.77,-101.86,27,16.11,75,CA
6,cherskiy,44.71,68.75,161.3,51,7.54,0,RU
7,mataura,50.29,-46.19,168.86,78,4.25,62,NZ
8,souillac,73.4,-20.52,57.52,73,12.75,40,MU
9,hithadhoo,83.28,-0.6,73.08,78,26.44,98,MV
10,new norfolk,48.0,-42.78,147.06,92,2.33,50,AU
11,carnarvon,68.32,-24.87,113.63,33,16.8,100,AU
12,punta arenas,37.4,-53.15,-70.92,100,7.2,75,CL
13,rock sound,80.49,24.9,-76.2,82,7.29,58,BS
14,hilo,84.2,19.73,-155.09,45,8.05,1,US
15,cockburn town,80.85,21.46,-71.14,80,19.39,8,TC
16,alakurtti,30.99,66.97,30.35,89,4.0,37,RU
17,broken hill,50.0,-31.95,141.43,81,9.17,0,AU
18,jamestown,63.0,42.1,-79.24,82,12.75,90,US
19,grindavik,42.8,63.84,-22.43,70,6.93,90,IS
20,fort nelson,42.8,58.81,-122.7,70,8.05,90,CA
21,yulara,44.6,-25.24,130.99,52,6.93,20,AU
22,almeirim,77.4,-1.52,-52.58,92,2.55,89,BR
23,chuy,61.68,-33.7,-53.46,82,7.23,0,UY
24,hobart,50.0,-42.88,147.33,87,4.7,75,AU
25,vila velha,73.4,-20.33,-40.29,88,8.05,75,BR
26,hamilton,71.01,39.18,-84.53,83,4.7,90,US
27,sao filipe,72.32,14.9,-24.5,81,10.07,45,CV
28,busselton,46.0,-33.65,115.33,70,10.27,2,AU
29,okha,32.72,53.57,142.95,96,14.81,90,RU
30,caxias do sul,60.01,-29.17,-51.18,41,1.86,0,BR
31,thompson,71.6,55.74,-97.86,33,8.05,75,CA
32,barrow,24.8,71.29,-156.79,85,9.17,90,US
33,san cristobal,91.4,7.77,-72.22,55,6.93,40,VE
34,kutum,69.82,14.2,24.67,77,21.68,93,SD
35,almaznyy,57.2,48.04,40.05,67,8.95,40,RU
36,pinar del rio,84.0,22.42,-83.7,67,9.62,9,CU
37,ushuaia,41.0,-54.8,-68.3,65,8.05,69,AR
38,narsaq,48.2,60.92,-46.05,24,20.8,100,GL
39,iona,84.2,26.52,-81.96,66,12.75,1,US
40,talnakh,37.4,69.49,88.4,100,8.95,90,RU
41,bambous virieux,73.4,-20.34,57.76,73,12.75,40,MU
42,griffith,68.0,41.53,-87.42,94,11.63,90,US
43,zhelyabovka,53.38,45.4,34.76,82,2.55,43,UA
44,georgetown,78.8,5.41,100.34,100,4.45,40,MY
45,bluff,51.66,-46.6,168.33,73,10.02,24,NZ
46,provideniya,37.4,64.38,-173.3,64,13.42,95,RU
47,cape town,57.99,-33.93,18.42,100,4.7,100,ZA
48,rikitea,77.68,-23.12,-134.97,83,11.83,46,PF
49,marzuq,79.18,14.4,46.47,50,1.79,7,YE
50,tuktoyaktuk,23.0,69.45,-133.04,85,12.75,90,CA
51,libertador general san martin,65.75,-23.81,-64.79,57,3.51,0,AR
52,mar del plata,57.99,-38.0,-57.56,71,3.36,0,AR
53,esperance,53.6,-33.87,121.9,93,11.41,40,AU
54,villars-sur-glane,51.01,46.79,7.12,77,1.99,0,CH
55,vaini,78.8,-21.2,-175.2,69,6.93,75,TO
56,atuona,80.51,-9.8,-139.03,74,15.01,6,PF
57,sibolga,76.66,1.74,98.78,82,3.11,97,ID
58,flinders,57.99,-34.58,150.86,95,1.01,70,AU
59,bredasdorp,53.6,-34.53,20.04,87,3.36,100,ZA
60,kaitangata,51.71,-46.28,169.85,75,7.07,43,NZ
61,quang ngai,80.33,15.12,108.8,74,3.36,100,VN
62,ornskoldsvik,35.6,63.29,18.72,80,8.05,93,SE
63,saint-augustin,40.86,51.23,-58.65,82,5.12,95,CA
64,orthez,55.4,43.49,-0.77,93,4.7,0,FR
65,qaanaaq,32.22,77.48,-69.36,85,4.81,0,GL
66,nemuro,40.42,43.32,145.57,74,9.93,66,JP
67,harper,79.75,4.38,-7.72,84,6.33,100,LR
68,kristiansund,41.0,63.11,7.73,80,14.99,86,NO
69,castro,54.73,-24.79,-50.01,66,0.85,0,BR
70,kamenka,53.01,51.32,42.77,69,1.99,100,RU
71,nikolskoye,41.0,59.7,30.79,80,4.47,40,RU
72,westport,62.6,41.14,-73.36,59,8.05,1,US
73,poum,74.5,-20.23,164.02,73,10.07,100,NC
74,qandala,87.51,11.47,49.87,61,1.59,0,SO
75,salalah,84.2,17.02,54.09,79,4.7,20,OM
76,arlit,89.11,18.74,7.39,28,4.03,58,NE
77,amalapuram,79.52,16.58,82.02,90,2.84,100,IN
78,pacific grove,71.6,36.62,-121.92,56,12.75,90,US
79,buala,84.85,-8.14,159.59,78,11.48,22,SB
80,lasa,50.0,46.62,10.7,100,2.24,75,IT
81,bay roberts,39.0,47.6,-53.26,57,4.21,100,CA
82,mount gambier,42.8,-37.83,140.77,87,9.17,88,AU
83,komsomolskiy,62.6,40.43,71.72,51,6.93,75,UZ
84,caraballeda,79.0,10.61,-66.85,66,13.09,60,VE
85,bereda,46.99,43.27,-7.54,97,1.99,65,ES
86,bay city,54.0,43.59,-83.89,93,14.99,90,US
87,susaki,69.8,33.37,133.28,83,3.36,75,JP
88,kavieng,84.7,-2.57,150.8,77,14.58,0,PG
89,bumba,71.42,2.18,22.47,92,1.88,100,CD
90,sorland,40.03,67.67,12.69,76,11.18,97,NO
91,bandar-e lengeh,87.46,26.56,54.88,34,8.59,25,IR
92,albany,73.0,42.6,-73.97,58,3.27,100,US
93,zabol,58.41,32.25,67.25,32,5.97,0,AF
94,sinnamary,77.49,5.38,-52.95,85,9.75,73,GF
95,bud,73.99,39.45,-86.18,73,12.75,75,US
96,port alfred,59.0,-33.59,26.89,78,1.99,100,ZA
97,copalillo,100.0,18.03,-99.12,12,3.0,65,MX
98,ribeira grande,62.87,38.52,-28.7,80,8.75,58,PT
99,somerset,66.2,40.57,-74.55,52,8.05,90,US
100,kruisfontein,52.88,-34.0,24.73,69,5.46,100,ZA
101,rocha,55.08,-34.48,-54.33,91,5.84,0,UY
102,waw,74.3,7.7,28.0,79,4.9,100,SS
